"","PLACEFIPS","VictimsPreGF2020Blk"
"1","0103004",1
"2","0107000",2
"3","0119648",1
"4","0177280",1
"5","0515190",1
"6","0524430",1
"7","0541000",1
"8","0613392",1
"9","0627000",1
"10","0634281",1
"11","0648452",1
"12","0664000",1
"13","0668084",1
"14","0804000",1
"15","0816000",2
"16","0820000",1
"17","0982800",1
"18","1047420",1
"19","1207950",1
"20","1213150",1
"21","1224125",1
"22","1224710",1
"23","1235000",2
"24","1245025",1
"25","1253000",1
"26","1254175",1
"27","1262625",1
"28","1263000",1
"29","1270600",1
"30","1271000",1
"31","1304000",2
"32","1304204",1
"33","1304896",1
"34","1316600",1
"35","1321072",1
"36","1345488",1
"37","1362524",1
"38","1369000",1
"39","1714000",2
"40","1738570",1
"41","1765078",1
"42","1827000",1
"43","1836003",2
"44","1838358",1
"45","1983145",1
"46","2148006",1
"47","2237410",1
"48","2270000",1
"49","2274340",1
"50","2404000",1
"51","2426600",1
"52","2450750",1
"53","2459425",1
"54","2484375",1
"55","2567000",1
"56","2829700",1
"57","2937000",1
"58","2938000",2
"59","2960788",1
"60","2967790",1
"61","2978154",1
"62","3251800",1
"63","3254600",1
"64","3260600",1
"65","3406340",1
"66","3451450",1
"67","3650034",1
"68","3651000",2
"69","3663000",1
"70","3670420",1
"71","3673000",1
"72","3727280",1
"73","3755000",2
"74","3916000",1
"75","3918000",3
"76","3925970",1
"77","4050050",1
"78","4055000",1
"79","4260000",1
"80","4261000",1
"81","4262416",1
"82","4504060",1
"83","4516000",1
"84","4518430",1
"85","4525810",1
"86","4530895",1
"87","4740000",1
"88","4752006",1
"89","4801000",1
"90","4819972",2
"91","4835000",3
"92","4835348",1
"93","4845000",1
"94","4848804",1
"95","4861436",1
"96","4950150",1
"97","5116000",1
"98","5182000",1
"99","5338038",1
"100","5353335",1
"101","5363000",2
"102","5553000",2
"103","5584675",1
